X,Y,Z,VX,VY,VZ
-145677285.0617881,32957817.8063669,4379.249988593161,-6.886704907642332,-29.20044746777098,0.001015215353474375
-146250447.9535719,30430279.47306095,4476.966816280037,-6.380765654148794,-29.30601462627284,0.001254528486148487
-146779847.9339856,27893973.33282817,4597.117515355349,-5.873663586942723,-29.40342462243104,0.001531322436100879
-147265381.0178163,25349600.53107395,4742.042797144502,-5.365310839977268,-29.49274690158753,0.001824134781699627
-147706934.606426,22797860.21413087,4912.107633959502,-4.855603530477389,-29.57395689087664,0.002109362714509899
-148104388.0746183,20239457.62128059,5105.692060519941,-4.344466651095455,-29.64694115268443,0.002365299740162641
-148457616.809725,17675110.69850127,5319.500670206733,-3.831886652998116,-29.7115247380722,0.002575247078004494
-148766498.1713456,15105553.87120401,5549.065148314461,-3.317922887093774,-29.76750698375752,0.002728812303232075
-149030917.5944579,12531538.87579459,5789.282823728397,-2.802700707859215,-29.8146919953472,0.002821539492439129
-149250773.6256311,9953833.454926684,6034.877617009915,-2.28639529842436,-29.85290720216821,0.002853623654733184
-149425981.4769527,7373218.961913949,6280.738395276945,-1.769214648978856,-29.88201056475183,0.002828461267236904
-149556475.2522306,4790487.691094928,6522.141999706393,-1.251386269401424,-29.90189046612587,0.002751473564618578
-149642209.2331113,2206440.380275624,6754.891684746603,-0.73314867609956,-29.9124624341443,0.002629326222161055
-149683158.6066909,-378115.9731327979,6975.403481846472,-0.2147467436203873,-29.91366549381487,0.002469486166599921
-149679319.9043745,-2962370.017491204,7180.764451026218,0.3035705832694753,-29.90545948906331,0.002279992576951884
