            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458886.500000000, A.D. 2020-Feb-07 00:00:00.0000, -1.091760358076731E+08,  1.009735610743566E+08,  3.601856842935085E+02, -2.065721526274211E+01, -2.203462224572925E+01,  3.275921662879711E-04,  4.960476826774727E+02,  1.487113540750836E+08,  2.041444544650635E-01,
2458887.500000000, A.D. 2020-Feb-08 00:00:00.0000, -1.109440250923318E+08,  9.905458203167666E+07,  3.919445799887180E+02, -2.026756605360192E+01, -2.238505582588091E+01,  4.190364847183048E-04,  4.961073447589325E+02,  1.487292403171338E+08,  2.099318756727624E-01,
2458888.500000000, A.D. 2020-Feb-09 00:00:00.0000, -1.126781175715472E+08,  9.710561765301947E+07,  4.345535907372832E+02, -1.987257926158154E+01, -2.272874551598551E+01,  5.782485957759320E-04,  4.961687055223755E+02,  1.487476358112311E+08,  2.159089840617167E-01,
2458889.500000000, A.D. 2020-Feb-10 00:00:00.0000, -1.143778541592188E+08,  9.512724600851320E+07,  4.936337720155716E+02, -1.947229034162367E+01, -2.306579507766727E+01,  7.985998443942322E-04,  4.962317970992448E+02,  1.487665501901398E+08,  2.219129398175255E-01,
2458890.500000000, A.D. 2020-Feb-11 00:00:00.0000, -1.160427756342194E+08,  9.312003744525562E+07,  5.739230024963617E+02, -1.906666255352884E+01, -2.339627355436693E+01,  1.066376687758108E-03,  4.962966001945441E+02,  1.487859776693656E+08,  2.277538278354970E-01,
2458891.500000000, A.D. 2020-Feb-12 00:00:00.0000, -1.176724171683086E+08,  9.108455902502471E+07,  6.787174218855798E+02, -1.865560782167317E+01, -2.372018369273874E+01,  1.362322512898473E-03,  4.963630402701425E+02,  1.488058959029390E+08,  2.332434154481783E-01,
2458892.500000000, A.D. 2020-Feb-13 00:00:00.0000, -1.192663053419808E+08,  8.902138108233306E+07,  8.095146104656160E+02, -1.823902172592148E+01, -2.403744607547483E+01,  1.664627142012876E-03,  4.964309924063929E+02,  1.488262674408919E+08,  2.382246691332117E-01,
2458893.500000000, A.D. 2020-Feb-14 00:00:00.0000, -1.208239583419770E+08,  8.693108425931518E+07,  9.659392699152231E+02, -1.781681984301198E+01, -2.434790389566520E+01,  1.952267292695709E-03,  4.965002934560486E+02,  1.488470433729101E+08,  2.425914178363303E-01,
2458894.500000000, A.D. 2020-Feb-15 00:00:00.0000, -1.223448889101353E+08,  8.481426538784704E+07,  1.145930724427104E+03, -1.738896362685521E+01, -2.465134337995440E+01,  2.207578014859379E-03,  4.965707577768343E+02,  1.488681680448398E+08,  2.462933923810616E-01,
2458895.500000000, A.D. 2020-Feb-16 00:00:00.0000, -1.238286088817382E+08,  8.267154129656345E+07,  1.346097747288644E+03, -1.695547125725642E+01, -2.494751964956085E+01,  2.417529066491397E-03,  4.966421925495269E+02,  1.488895836509320E+08,  2.493292016056924E-01,
2458896.500000000, A.D. 2020-Feb-17 00:00:00.0000, -1.252746340907246E+08,  8.050355047806691E+07,  1.562131132133305E+03, -1.651641613536950E+01, -2.523617931622589E+01,  2.573849879640377E-03,  4.967144100848844E+02,  1.489112339233675E+08,  2.517335692161264E-01,
2458897.500000000, A.D. 2020-Feb-18 00:00:00.0000, -1.266824888188575E+08,  7.831095310125521E+07,  1.789194259054959E+03, -1.607191881981025E+01, -2.551707596287816E+01,  2.672481562656870E-03,  4.967872363383393E+02,  1.489330666848976E+08,  2.535645226426903E-01,
2458898.500000000, A.D. 2020-Feb-19 00:00:00.0000, -1.280517094540097E+08,  7.609442999150580E+07,  2.022254294414073E+03, -1.562213744223159E+01, -2.578997883996903E+01,  2.712813238085587E-03,  4.968605161165739E+02,  1.489550354097363E+08,  2.548935043677031E-01,
